State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,May 18 2020,966,1375,0
United States,May 17 2020,926,1389,0
United States,May 16 2020,1225,1411,0
United States,May 15 2020,1542,1449,0
United States,May 14 2020,1933,1458,0
United States,May 13 2020,1504,1482,0
United States,May 12 2020,1530,1600,0
United States,May 11 2020,1067,1729,0
United States,May 10 2020,1081,1754,0
United States,May  9 2020,1491,1805,0
United States,May  8 2020,1603,1821,0
United States,May  7 2020,2098,1867,0
United States,May  6 2020,2335,1886,0
United States,May  5 2020,2433,1897,0
United States,May  4 2020,1242,1850,0
United States,May  3 2020,1433,1889,0
United States,May  2 2020,1606,1906,0
United States,May  1 2020,1927,1943,0
United States,Apr 30 2020,2227,1964,0
United States,Apr 29 2020,2414,1932,0
United States,Apr 28 2020,2106,1909,0
United States,Apr 27 2020,1513,1988,0
United States,Apr 26 2020,1552,2065,0
United States,Apr 25 2020,1862,2130,0
United States,Apr 24 2020,2080,2132,0
United States,Apr 23 2020,2002,2167,0
